mixed_accuracy,mixed_average,State_Register_accuracy,State_Register_average
0.9855855855855856,0.9630990990990992,0.5714285714285714,0.59
0.9891891891891892,,0.42857142857142855,
0.9873873873873874,,0.5714285714285714,
0.9855855855855856,,0.5714285714285714,
0.9837837837837838,,0.5714285714285714,
0.9315315315315316,,0.5714285714285714,
0.8756756756756757,,0.7142857142857143,
0.9855855855855856,,0.5714285714285714,
0.9873873873873874,,0.5714285714285714,
0.8054054054054054,,0.7142857142857143,
0.9801801801801802,,0.7142857142857143,
0.9243243243243243,,0.5714285714285714,
0.9855855855855856,,0.5714285714285714,
0.9873873873873874,,0.0,
0.990990990990991,,0.7142857142857143,
0.9315315315315316,,0.7142857142857143,
0.9675675675675676,,0.7142857142857143,
0.954954954954955,,0.7142857142857143,
0.9261261261261261,,0.7142857142857143,
0.9873873873873874,,0.7142857142857143,
0.9567567567567568,,0.7142857142857143,
0.9819819819819819,,0.5714285714285714,
0.9819819819819819,,0.5714285714285714,
0.9873873873873874,,0.5714285714285714,
0.9819819819819819,,0.2857142857142857,
0.9261261261261261,,0.5714285714285714,
0.9891891891891892,,0.7142857142857143,
0.9891891891891892,,0.2857142857142857,
0.9891891891891892,,0.7142857142857143,
0.9873873873873874,,0.5714285714285714,
0.9891891891891892,,0.7142857142857143,
0.9225225225225225,,0.5714285714285714,
0.9459459459459459,,0.7142857142857143,
0.9837837837837838,,0.5714285714285714,
0.9891891891891892,,0.5714285714285714,
0.9261261261261261,,0.42857142857142855,
0.9927927927927928,,0.5714285714285714,
0.990990990990991,,0.5714285714285714,
0.9891891891891892,,0.5714285714285714,
0.9225225225225225,,0.7142857142857143,
0.9873873873873874,,0.7142857142857143,
0.9765765765765766,,0.7142857142857143,
0.9855855855855856,,0.7142857142857143,
0.9477477477477477,,0.7142857142857143,
0.9585585585585585,,0.7142857142857143,
0.9531531531531532,,0.5714285714285714,
0.9279279279279279,,0.2857142857142857,
0.9441441441441442,,0.5714285714285714,
0.9855855855855856,,0.42857142857142855,
0.9891891891891892,,0.42857142857142855,
0.9009009009009009,,0.7142857142857143,
0.9477477477477477,,0.5714285714285714,
0.9891891891891892,,0.42857142857142855,
0.9891891891891892,,0.5714285714285714,
0.9279279279279279,,0.5714285714285714,
0.9927927927927928,,0.7142857142857143,
0.990990990990991,,0.5714285714285714,
0.9855855855855856,,0.42857142857142855,
0.9675675675675676,,0.5714285714285714,
0.9837837837837838,,0.7142857142857143,
0.9837837837837838,,0.42857142857142855,
0.9891891891891892,,0.42857142857142855,
0.9405405405405406,,0.7142857142857143,
0.9351351351351351,,0.2857142857142857,
0.9945945945945946,,0.5714285714285714,
0.990990990990991,,0.42857142857142855,
0.9837837837837838,,0.5714285714285714,
0.9405405405405406,,0.5714285714285714,
0.9855855855855856,,0.7142857142857143,
0.9297297297297298,,0.7142857142857143,
0.8774774774774775,,0.7142857142857143,
0.9171171171171171,,0.7142857142857143,
0.9837837837837838,,0.5714285714285714,
0.9459459459459459,,0.7142857142857143,
0.9837837837837838,,0.7142857142857143,
0.9747747747747748,,0.42857142857142855,
0.9567567567567568,,0.7142857142857143,
0.8900900900900901,,0.42857142857142855,
0.9459459459459459,,0.7142857142857143,
0.9891891891891892,,0.7142857142857143,
0.9873873873873874,,0.7142857142857143,
0.9117117117117117,,0.7142857142857143,
0.9747747747747748,,0.7142857142857143,
0.9477477477477477,,0.7142857142857143,
0.9297297297297298,,0.7142857142857143,
0.9819819819819819,,0.2857142857142857,
0.9873873873873874,,0.5714285714285714,
0.8756756756756757,,0.7142857142857143,
0.990990990990991,,0.7142857142857143,
0.9855855855855856,,0.5714285714285714,
0.9891891891891892,,0.5714285714285714,
0.9873873873873874,,0.5714285714285714,
0.9819819819819819,,0.42857142857142855,
0.990990990990991,,0.7142857142857143,
0.9855855855855856,,0.14285714285714285,
0.9711711711711711,,0.5714285714285714,
0.8648648648648649,,0.7142857142857143,
0.9387387387387387,,0.7142857142857143,
0.9891891891891892,,0.42857142857142855,
0.990990990990991,,0.5714285714285714,
