euclidean_accuracy,euclidean_average,State_Register_accuracy,State_Register_average
0.9333333333333333,0.7080000000000001,1.0,0.5242857142857142
0.4666666666666667,,0.0,
0.6666666666666666,,0.42857142857142855,
0.8666666666666667,,0.8571428571428571,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.8666666666666667,,0.8571428571428571,
0.7333333333333333,,0.5714285714285714,
0.6,,0.2857142857142857,
0.8,,0.7142857142857143,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.8,,0.7142857142857143,
0.6666666666666666,,0.42857142857142855,
0.8,,0.7142857142857143,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.8,,0.8571428571428571,
0.5333333333333333,,0.14285714285714285,
0.8,,0.7142857142857143,
0.6666666666666666,,0.42857142857142855,
0.6666666666666666,,0.42857142857142855,
0.8,,0.7142857142857143,
0.5333333333333333,,0.14285714285714285,
0.4666666666666667,,0.0,
0.8666666666666667,,0.8571428571428571,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.6,,0.2857142857142857,
0.8,,0.7142857142857143,
0.8,,0.7142857142857143,
0.6,,0.42857142857142855,
0.6,,0.2857142857142857,
0.6,,0.2857142857142857,
0.4666666666666667,,0.0,
0.6666666666666666,,0.42857142857142855,
0.9333333333333333,,1.0,
0.6666666666666666,,0.42857142857142855,
0.6666666666666666,,0.42857142857142855,
0.6666666666666666,,0.42857142857142855,
0.8,,0.8571428571428571,
0.4666666666666667,,0.0,
0.7333333333333333,,0.5714285714285714,
0.8666666666666667,,0.8571428571428571,
0.7333333333333333,,0.5714285714285714,
0.6,,0.2857142857142857,
0.5333333333333333,,0.14285714285714285,
0.6,,0.2857142857142857,
0.8666666666666667,,0.8571428571428571,
0.7333333333333333,,0.5714285714285714,
0.6,,0.2857142857142857,
0.4666666666666667,,0.0,
0.6,,0.2857142857142857,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.5333333333333333,,0.14285714285714285,
0.9333333333333333,,1.0,
0.7333333333333333,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.6,,0.2857142857142857,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.8,,0.8571428571428571,
0.8666666666666667,,0.8571428571428571,
0.6,,0.2857142857142857,
0.6,,0.2857142857142857,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.5333333333333333,,0.14285714285714285,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.8,,0.7142857142857143,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.8666666666666667,,0.8571428571428571,
0.7333333333333333,,0.5714285714285714,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
0.7333333333333333,,0.5714285714285714,
0.8666666666666667,,0.8571428571428571,
0.6666666666666666,,0.42857142857142855,
0.8,,0.7142857142857143,
0.7333333333333333,,0.5714285714285714,
0.6666666666666666,,0.42857142857142855,
0.7333333333333333,,0.5714285714285714,
