fastRELIC_accuracy,fastRELIC_average,State_Register_accuracy,State_Register_average
0.40625,0.42171875,0.19148936170212766,0.21255319148936166
0.328125,,0.0851063829787234,
0.515625,,0.3404255319148936,
0.390625,,0.1702127659574468,
0.375,,0.14893617021276595,
0.28125,,0.02127659574468085,
0.453125,,0.2553191489361702,
0.359375,,0.1276595744680851,
0.5,,0.3191489361702128,
0.65625,,0.5319148936170213,
0.453125,,0.2553191489361702,
0.546875,,0.3829787234042553,
0.328125,,0.0851063829787234,
0.546875,,0.3829787234042553,
0.53125,,0.3617021276595745,
0.34375,,0.10638297872340426,
0.453125,,0.2553191489361702,
0.5,,0.3191489361702128,
0.515625,,0.3404255319148936,
0.34375,,0.10638297872340426,
0.46875,,0.2765957446808511,
0.421875,,0.2127659574468085,
0.53125,,0.3617021276595745,
0.546875,,0.3829787234042553,
0.34375,,0.10638297872340426,
0.40625,,0.19148936170212766,
0.40625,,0.19148936170212766,
0.4375,,0.23404255319148937,
0.328125,,0.0851063829787234,
0.375,,0.14893617021276595,
0.328125,,0.0851063829787234,
0.5,,0.3191489361702128,
0.375,,0.14893617021276595,
0.453125,,0.2553191489361702,
0.34375,,0.10638297872340426,
0.484375,,0.2978723404255319,
0.390625,,0.1702127659574468,
0.46875,,0.2765957446808511,
0.390625,,0.1702127659574468,
0.46875,,0.2765957446808511,
0.359375,,0.1276595744680851,
0.5625,,0.40425531914893614,
0.578125,,0.425531914893617,
0.328125,,0.0851063829787234,
0.46875,,0.2765957446808511,
0.34375,,0.10638297872340426,
0.390625,,0.1702127659574468,
0.34375,,0.10638297872340426,
0.28125,,0.02127659574468085,
0.34375,,0.10638297872340426,
0.421875,,0.2127659574468085,
0.375,,0.14893617021276595,
0.375,,0.14893617021276595,
0.5,,0.3191489361702128,
0.421875,,0.2127659574468085,
0.296875,,0.0425531914893617,
0.4375,,0.23404255319148937,
0.453125,,0.2553191489361702,
0.453125,,0.2553191489361702,
0.453125,,0.2553191489361702,
0.421875,,0.2127659574468085,
0.5,,0.3191489361702128,
0.5625,,0.40425531914893614,
0.4375,,0.23404255319148937,
0.421875,,0.2127659574468085,
0.3125,,0.06382978723404255,
0.421875,,0.2127659574468085,
0.296875,,0.0425531914893617,
0.484375,,0.2978723404255319,
0.390625,,0.1702127659574468,
0.46875,,0.2765957446808511,
0.328125,,0.0851063829787234,
0.40625,,0.19148936170212766,
0.484375,,0.2978723404255319,
0.359375,,0.1276595744680851,
0.34375,,0.10638297872340426,
0.546875,,0.3829787234042553,
0.359375,,0.1276595744680851,
0.5625,,0.40425531914893614,
0.3125,,0.06382978723404255,
0.375,,0.14893617021276595,
0.359375,,0.1276595744680851,
0.375,,0.14893617021276595,
0.625,,0.48936170212765956,
0.46875,,0.2765957446808511,
0.3125,,0.06382978723404255,
0.4375,,0.23404255319148937,
0.3125,,0.06382978723404255,
0.328125,,0.0851063829787234,
0.453125,,0.2553191489361702,
0.328125,,0.0851063829787234,
0.359375,,0.1276595744680851,
0.515625,,0.3404255319148936,
0.5,,0.3191489361702128,
0.3125,,0.06382978723404255,
0.3125,,0.06382978723404255,
0.515625,,0.3404255319148936,
0.34375,,0.10638297872340426,
0.484375,,0.2978723404255319,
0.546875,,0.3829787234042553,
