unmodified_accuracy,unmodified_average,State_Register_accuracy,State_Register_average
0.390625,0.4509375,0.1702127659574468,0.25446808510638297
0.4375,,0.23404255319148937,
0.46875,,0.2765957446808511,
0.515625,,0.3404255319148936,
0.484375,,0.2978723404255319,
0.3125,,0.06382978723404255,
0.546875,,0.3829787234042553,
0.296875,,0.0425531914893617,
0.328125,,0.0851063829787234,
0.34375,,0.10638297872340426,
0.40625,,0.19148936170212766,
0.40625,,0.23404255319148937,
0.3125,,0.06382978723404255,
0.484375,,0.2978723404255319,
0.53125,,0.3617021276595745,
0.34375,,0.10638297872340426,
0.3125,,0.06382978723404255,
0.5625,,0.40425531914893614,
0.34375,,0.10638297872340426,
0.515625,,0.3404255319148936,
0.40625,,0.19148936170212766,
0.375,,0.14893617021276595,
0.453125,,0.2553191489361702,
0.578125,,0.425531914893617,
0.296875,,0.0425531914893617,
0.609375,,0.46808510638297873,
0.375,,0.2127659574468085,
0.5,,0.3191489361702128,
0.515625,,0.3404255319148936,
0.328125,,0.0851063829787234,
0.3125,,0.06382978723404255,
0.46875,,0.2765957446808511,
0.625,,0.48936170212765956,
0.328125,,0.0851063829787234,
0.359375,,0.1276595744680851,
0.4375,,0.23404255319148937,
0.421875,,0.2127659574468085,
0.578125,,0.46808510638297873,
0.359375,,0.1276595744680851,
0.5625,,0.40425531914893614,
0.390625,,0.1702127659574468,
0.46875,,0.2765957446808511,
0.453125,,0.2553191489361702,
0.5,,0.3191489361702128,
0.453125,,0.2553191489361702,
0.28125,,0.02127659574468085,
0.53125,,0.3617021276595745,
0.5625,,0.40425531914893614,
0.578125,,0.425531914893617,
0.53125,,0.3617021276595745,
0.65625,,0.5531914893617021,
0.40625,,0.19148936170212766,
0.515625,,0.3404255319148936,
0.34375,,0.10638297872340426,
0.578125,,0.425531914893617,
0.359375,,0.1276595744680851,
0.28125,,0.02127659574468085,
0.6875,,0.574468085106383,
0.359375,,0.1276595744680851,
0.265625,,0.0,
0.375,,0.14893617021276595,
0.34375,,0.10638297872340426,
0.578125,,0.425531914893617,
0.359375,,0.1276595744680851,
0.296875,,0.0425531914893617,
0.40625,,0.19148936170212766,
0.625,,0.48936170212765956,
0.3125,,0.06382978723404255,
0.609375,,0.46808510638297873,
0.421875,,0.2127659574468085,
0.421875,,0.2127659574468085,
0.390625,,0.1702127659574468,
0.546875,,0.3829787234042553,
0.546875,,0.3829787234042553,
0.65625,,0.5319148936170213,
0.53125,,0.3617021276595745,
0.65625,,0.5319148936170213,
0.625,,0.48936170212765956,
0.5,,0.3191489361702128,
0.578125,,0.425531914893617,
0.40625,,0.19148936170212766,
0.578125,,0.46808510638297873,
0.40625,,0.19148936170212766,
0.71875,,0.6170212765957447,
0.4375,,0.23404255319148937,
0.328125,,0.0851063829787234,
0.609375,,0.46808510638297873,
0.421875,,0.2127659574468085,
0.515625,,0.3404255319148936,
0.5625,,0.40425531914893614,
0.359375,,0.1276595744680851,
0.375,,0.14893617021276595,
0.328125,,0.0851063829787234,
0.265625,,0.0,
0.453125,,0.2553191489361702,
0.546875,,0.3829787234042553,
0.375,,0.14893617021276595,
0.46875,,0.2765957446808511,
0.328125,,0.0851063829787234,
0.390625,,0.1702127659574468,
